Strassentyp	Oberflaeche	Wetter	Verkehr	Sicht	Tempomat	SH-Ass	SW-Ass
Landstrasse	Teer	Schnee	leer	neblig	V2.1	V0.1	3.5
Autobahn	Beton	Regen	voll	klar	V3.4	V0.1	3.5
Feldweg	Kopfsteinpflaster	Sonne	voll	klar	V2.1	V0.1	3.5
Stadtstrasse	Schotter	Hagel	leer	neblig	V3.4	V0.1	V2.3
Landstrasse	Glatteis	Hagel	voll	klar	V2.1	V0.1	V2.3
Fahrradweg	Glatteis	Sonne	voll	neblig	V3.4	V0.1	3.5
Landstrasse	Kopfsteinpflaster	Schnee	leer	klar	V3.4	V0.1	3.1.1
Autobahn	Schotter	Regen	leer	neblig	V2.1	V0.1	3.1.1
Fahrradweg	Schotter	Schnee	voll	klar	V2.1	V0.1	V2.3.3
Feldweg	Glatteis	Regen	leer	neblig	V3.4	V0.1	3.1
Autobahn	Beton	Sonne	leer	neblig	V3.4	V0.1	3.0
Stadtstrasse	Beton	Schnee	voll	klar	V2.1	V0.1	3.1
Feldweg	Teer	Hagel	voll	neblig	V3.4	V0.1	3.1.1
Fahrradweg	Teer	Regen	leer	klar	V3.4	V0.1	V2.3
Autobahn	Kopfsteinpflaster	Hagel	leer	neblig	V2.1	V0.1	3.1
Fahrradweg	Teer	Sonne	leer	neblig	V3.4	V0.1	3.1
Fahrradweg	Beton	Sonne	voll	neblig	V2.1	V0.1	3.1.1
Feldweg	Beton	Sonne	leer	neblig	V3.4	V0.1	V2.3.3
Stadtstrasse	Kopfsteinpflaster	Regen	voll	neblig	V2.1	V0.1	V2.3.3
Stadtstrasse	Schotter	Sonne	leer	klar	V3.4	V0.1	3.5
Feldweg	Schotter	Schnee	voll	klar	V2.1	V0.1	3.0
Landstrasse	Schotter	Sonne	leer	neblig	V2.1	V0.1	3.1
Autobahn	Teer	Hagel	leer	neblig	V2.1	V0.1	V2.3.3
Landstrasse	Beton	Regen	voll	neblig	V3.4	V0.1	V2.3.3
Fahrradweg	Beton	Hagel	voll	klar	V2.1	V0.1	V2.3
Feldweg	Kopfsteinpflaster	Schnee	leer	neblig	V3.4	V0.1	V2.3
Landstrasse	Kopfsteinpflaster	Hagel	voll	klar	V2.1	V0.1	3.0
Fahrradweg	Kopfsteinpflaster	Regen	leer	klar	V2.1	V0.1	3.0
Autobahn	Glatteis	Schnee	leer	neblig	V2.1	V0.1	3.1.1
Stadtstrasse	Glatteis	Hagel	leer	klar	V3.4	V0.1	V2.3.3
Stadtstrasse	Teer	Schnee	voll	klar	V3.4	V0.1	3.0
Autobahn	Beton	Sonne	voll	neblig	V2.1	V0.1	V2.3
Fahrradweg	Glatteis	Regen	leer	neblig	V2.1	V0.1	3.0
Fahrradweg	Schotter	Hagel	leer	neblig	V3.4	V0.1	3.5
Stadtstrasse	Beton	Schnee	voll	neblig	V2.1	V0.1	3.1.1